STwardcode,POLY_ID,O,E,SMR,RR.HET,resRR.HET,probaresRR.HET
00APGF,250,19,24.28820553,0.782272695,0.867696275,0.880970275,0.1975
00APGG,251,29,24.01760809,1.207447465,1.125562375,1.142834025,0.78375
00APGH,252,25,20.41116968,1.224819567,1.135564175,1.153019175,0.7795
00APGJ,253,20,23.85797001,0.838294289,0.900019775,0.913849975,0.26825
00APGK,254,24,24.26662215,0.989012803,0.9908519,1.00600215,0.4895
00APGL,255,37,24.44806976,1.513411912,1.338599925,1.359146125,0.97775
00APGM,256,30,27.25177439,1.100845749,1.0682594,1.084678,0.681
00APGN,257,16,24.93922056,0.641559746,0.7852986,0.797296325,0.075
00APGP,258,15,16.62387618,0.902316634,0.950514225,0.96503465,0.3965
00APGQ,259,24,22.08254062,1.086831466,1.053865975,1.070084125,0.6355
00APGR,260,30,23.65557733,1.268199866,1.167946425,1.185862175,0.852
00APGS,261,18,22.89526134,0.786188886,0.873737525,0.88714925,0.217
00APGT,262,43,25.08275918,1.714324955,1.4831403,1.50588875,0.99575
00APGU,263,20,24.50866298,0.816037987,0.88600005,0.899528925,0.23975
00AQFY,264,20,26.89281588,0.74369304,0.8380019,0.850849325,0.15125
00AQFZ,265,28,45.52512143,0.615045037,0.7203959,0.731423075,0.012
00AQGA,266,21,26.0146143,0.807238568,0.880707675,0.89419805,0.2245
00AQGB,267,18,25.01056693,0.719695801,0.825148725,0.83781215,0.12925
00AQGC,268,26,29.48423698,0.881827127,0.91810775,0.932143575,0.3035
00AQGD,269,24,37.0908034,0.647060667,0.75416425,0.76573785,0.0365
00AQGE,270,26,38.5782965,0.673954072,0.76989665,0.7817282,0.0355
00AQGF,271,20,30.78696996,0.649625476,0.769742975,0.781531675,0.05225
00AQGG,272,19,24.26163004,0.783129574,0.86906395,0.882330925,0.213
00AQGH,273,21,26.24352532,0.800197372,0.87735625,0.890824375,0.2225
00AQGJ,274,11,27.49545817,0.400066074,0.635715625,0.64543695,0.00475
00AQGK,275,21,23.19324668,0.905435978,0.9438962,0.95832725,0.37925
00AQGL,276,29,36.85575595,0.786851314,0.848037725,0.861042175,0.13925
00AQGM,277,26,32.82500579,0.792079068,0.859340025,0.8724681,0.166
00AQGN,278,13,24.76489469,0.524936615,0.716272275,0.727257725,0.02925
00AQGP,279,17,28.72827988,0.591751406,0.7407187,0.752043475,0.03075
00AQGQ,280,21,24.53423412,0.855946833,0.916627075,0.9306757,0.30975
00AQGR,281,33,25.68228277,1.284932507,1.186466075,1.204654875,0.869
00AQGS,282,32,40.29786327,0.794086768,0.85050755,0.8635696,0.134
00AQGT,283,22,22.86101779,0.962336857,0.976907725,0.991925325,0.45425
00AQGU,284,19,25.87760799,0.734225513,0.8376604,0.850525275,0.153
00ARGC,285,33,37.62653357,0.877040664,0.910922525,0.9248658,0.2745
00ARGD,286,42,56.15991087,0.747864435,0.801076375,0.813367275,0.042
00ARGE,287,54,44.51892512,1.212967291,1.1598979,1.17768225,0.889
00ARGF,288,37,43.98450456,0.841205337,0.8796349,0.893166,0.1805
00ARGG,289,56,46.18047625,1.212633661,1.161495325,1.179289375,0.8995
00ARGH,290,47,47.23349202,0.995056643,0.991081325,1.00625665,0.50325
00ARGJ,291,40,42.47531557,0.941723433,0.9568755,0.9715235,0.397
00ARGK,292,51,39.8093539,1.281105946,1.208044725,1.226542825,0.93825
00ARGL,293,61,43.21717908,1.411475744,1.316918075,1.337099225,0.9915
00ARGM,294,42,39.1672397,1.072324737,1.052681875,1.068863075,0.6635
00ARGN,295,43,45.59385884,0.943109469,0.95779585,0.972440325,0.39425
00ARGP,296,40,49.76207458,0.803825008,0.853472775,0.866548925,0.11925
00ARGQ,297,41,39.45984748,1.039030879,1.0270248,1.04281325,0.5955
00ARGR,298,49,39.72295746,1.233543601,1.1735274,1.19155135,0.89875
00ARGS,299,49,49.63409743,0.98722456,0.990038025,1.005173175,0.509
00ARGT,300,48,42.21270067,1.137098533,1.102485225,1.11938435,0.7835
00ARGU,301,29,41.46577815,0.699371899,0.783028525,0.795064275,0.0475
00ARGW,302,35,51.6928273,0.677076527,0.75379315,0.765358825,0.0185
00ASGG,303,26,27.12576233,0.958498408,0.9695603,0.984443975,0.43425
00ASGH,304,50,29.38451011,1.701576777,1.497769375,1.520686825,0.9995
00ASGJ,305,37,30.07774356,1.230145471,1.156276525,1.173966425,0.8425
00ASGK,306,28,35.68204647,0.784708355,0.8499265,0.8629559,0.1465
00ASGL,307,39,30.60988406,1.274098259,1.1914015,1.2096959,0.894
00ASGM,308,28,45.35816102,0.617308978,0.71835615,0.729369925,0.0095
00ASGN,309,27,23.43781252,1.151984639,1.0939499,1.11073275,0.71475
00ASGP,310,21,26.34073232,0.797244349,0.87373325,0.887116625,0.21525
00ASGQ,311,39,31.68088304,1.231026293,1.163341675,1.181165625,0.87025
00ASGR,312,30,40.13176274,0.74753756,0.8177519,0.830241125,0.0815
00ASGS,313,40,34.58468239,1.156581389,1.109787875,1.12679915,0.7875
00ASGT,314,20,38.63932908,0.517607331,0.6652637,0.675456625,0.00275
00ASGU,315,29,37.88347244,0.765505328,0.8383687,0.8512186,0.125
00ASGW,316,35,27.3203527,1.281096199,1.18611515,1.2043372,0.88075
00ASGX,317,26,30.90024267,0.84141734,0.89410835,0.907815175,0.23675
00ASGY,318,39,29.47599349,1.323110619,1.2217252,1.240487475,0.9215
00ASGZ,319,34,35.03171953,0.97054899,0.97559245,0.990574225,0.4435
00ASHA,320,24,26.38331317,0.909665888,0.9437782,0.95821055,0.377
00ASHB,321,44,34.84628239,1.262688499,1.1874954,1.20573045,0.901
00ASHC,322,32,33.52836337,0.954415807,0.9718285,0.986806325,0.438
00ASHD,323,15,21.36111829,0.702210427,0.824881775,0.8375239,0.13975
00ASHE,324,27,25.78939171,1.046942103,1.031858675,1.0476392,0.60475
00ATFY,325,31,28.26629375,1.096712582,1.064418975,1.080734125,0.686
00ATFZ,326,33,26.18261251,1.260378428,1.168500925,1.186409625,0.855
00ATGA,327,18,25.20305925,0.714199011,0.820569975,0.83310105,0.12075
00ATGB,328,32,27.3039935,1.171989731,1.11365745,1.130813375,0.78325
00ATGC,329,23,24.45468752,0.940514982,0.9612913,0.9760045,0.41475
00ATGD,330,27,27.58424569,0.978819588,0.9829418,0.99798345,0.4725
00ATGE,331,34,19.97515974,1.702114048,1.4306069,1.4525399,0.99175
00ATGF,332,32,26.9847145,1.185856534,1.121573725,1.138813525,0.78275
00ATGG,333,33,28.99022022,1.138314913,1.0922371,1.10898955,0.739
00ATGH,334,17,25.96360501,0.654762695,0.7883388,0.800411575,0.07925
00ATGJ,335,19,23.65501991,0.803212175,0.880598225,0.894066425,0.23025
00ATGK,336,24,25.42195317,0.944065935,0.965417475,0.9802131,0.42625
00ATGL,337,20,26.1311754,0.765369322,0.85216515,0.865180625,0.16575
00ATGM,338,20,21.91356423,0.912676724,0.947173975,0.9615984,0.38075
00ATGN,339,21,27.44505385,0.765165196,0.850283625,0.8633083,0.168
00ATGP,340,16,26.25257951,0.609463919,0.756220375,0.76778065,0.0475
00ATGQ,341,36,24.05385599,1.496641537,1.326130025,1.346418025,0.97475
00ATGR,342,23,28.98592046,0.793488688,0.8665614,0.879842475,0.19325
00ATGS,343,35,24.73323941,1.415099713,1.27068875,1.2901479,0.94475
00ATGT,344,29,26.13378106,1.109674866,1.070974175,1.0874015,0.6825
00AUFX,345,33,21.92214968,1.505326826,1.325140075,1.34537205,0.96575
00AUFY,346,44,25.63995409,1.716071715,1.49348715,1.5163932,0.9975
00AUFZ,347,50,25.49780676,1.960952974,1.66716645,1.6927635,1
00AUGA,348,43,24.63453232,1.745517205,1.505832675,1.528893325,0.99775
00AUGB,349,35,21.76173122,1.608327924,1.3844385,1.405704225,0.98425
00AUGC,350,29,22.35261272,1.297387485,1.186549475,1.2047063,0.869
00AUGD,351,29,23.18189238,1.250976388,1.154937175,1.172673,0.82875
00AUGE,352,31,21.53044105,1.439821875,1.279382125,1.29896735,0.94275
00AUGF,353,25,20.8934568,1.196546854,1.118794075,1.135898475,0.759
00AUGG,354,48,24.51989796,1.957593791,1.6653286,1.6908639,0.9995
00AUGH,355,41,26.39333887,1.553422256,1.371789575,1.392810075,0.98675
00AUGJ,356,24,22.16481488,1.082797223,1.045201125,1.061181025,0.61175
